token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur,liquidated,liquidation_date,liq_price,worst_price,pnl_eur_clean,equity
GMT,LONG,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,0.052125,0.044352,0.0521771249999999,0.044307648,10.0,-0.1508223574986162,0.009,-1.5172235749861624,0.0414427034299992,-1.475780871556163,False,,0.0260885624999999,0.041105,-1.475780871556163,-126.46270098088301
AVAX,LONG,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,23.857,25.094,23.880856999999995,25.068906,10.0,0.0497490102637441,0.009,0.4884901026374417,0.138143797277627,0.6266338999150687,False,,11.940428499999998,20.867,0.6266338999150687,-125.83606708096795
SEI,SHORT,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,0.32821,0.32582,0.32788179,0.32614582,10.0,0.0052944995816938,0.009,0.0439449958169385,0.009974901823032,0.0539198976399705,False,,0.491822685,0.35417,0.0539198976399705,-125.78214718332798
HYPER,SHORT,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,0.4092,0.33509,0.4087908,0.33542509,10.0,0.1794700614593088,0.009,1.7857006145930885,-1.0627489914485355,0.7229516231445527,False,,0.6131862,0.53101,0.7229516231445527,-125.05919556018343
SYRUP,SHORT,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,0.46577,0.43557,0.46530423,0.4360055699999999,10.0,0.0629666745131461,0.009,0.6206667451314613,-0.157931560164712,0.4627351849667492,False,,0.6979563449999999,0.56999,0.4627351849667492,-124.59646037521668
SOL,LONG,2025-07-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,188.47,199.01,188.65846999999997,198.81099,10.0,0.0538142814367149,0.009,0.5291428143671493,0.1171524218574973,0.6462952362246466,False,,94.32923499999998,157.39,0.6462952362246466,-123.95016513899203
BNB,LONG,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,779.35,884.07,780.1293499999999,883.1859300000001,12.0,0.1321019136121467,0.0108,1.574422963345761,0.1331954658185646,1.7076184291643255,False,,390.064675,737.05,1.7076184291643255,-122.2425467098277
AVAX,LONG,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,24.001,26.001,24.025001,25.974999,12.0,0.0811653660284967,0.0108,0.9631843923419612,0.1569112267731768,1.120095619115138,False,,12.0125005,20.867,1.120095619115138,-121.12245109071257
ALT,SHORT,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,0.033558,0.037607,0.0335244419999999,0.037644607,12.0,-0.122900330451436,0.0108,-1.4856039654172328,0.0807465244260531,-1.4048574409911798,False,,0.0502866629999998,0.039755,-1.4048574409911798,-122.52730853170375
HYPER,SHORT,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,0.42951,0.33027,0.42908049,0.33060027,12.0,0.229514560310118,0.0108,2.7433747237214168,-1.1611889836011329,1.582185740120284,False,,0.6436207349999999,0.53101,1.582185740120284,-120.94512279158347
KNEIRO,SHORT,2025-07-24 00:00:00+00:00,2025-08-23 00:00:00+00:00,0.45843,0.40313,0.45797157,0.4035331299999999,12.0,0.1188686013850161,0.0108,1.415623216620194,0.0942013038854966,1.5098245205056908,False,,0.686957355,0.46755,1.5098245205056908,-119.43529827107778
OMNI,SHORT,2025-07-25 00:00:00+00:00,2025-08-24 00:00:00+00:00,2.3875,3.7575,2.3851125,3.7612574999999993,12.0,-0.576972784302627,0.0108,-6.934473411631524,-5.368268203552813,-12.302741615184338,True,2025-07-29 19:00:00+00:00,3.57766875,4.9867,-12.0,-131.43529827107778
HYPER,SHORT,2025-07-25 00:00:00+00:00,2025-08-24 00:00:00+00:00,0.53101,0.32561,0.53047899,0.32593561,12.0,0.3855824337171205,0.0108,4.616189204605446,-0.798105902563538,3.818083302041907,False,,0.795718485,0.53101,3.818083302041907,-127.61721496903587
KNEIRO,SHORT,2025-07-25 00:00:00+00:00,2025-08-24 00:00:00+00:00,0.44895,0.3922,0.44850105,0.3925921999999999,12.0,0.1246571217614765,0.0108,1.4850854611377182,0.095676931646675,1.5807623927843932,False,,0.672751575,0.46755,1.5807623927843932,-126.03645257625148
BNB,LONG,2025-07-25 00:00:00+00:00,2025-08-24 00:00:00+00:00,774.63,870.13,775.4046299999999,869.25987,12.0,0.1210403399319399,0.0108,1.4416840791832792,0.1327311091944034,1.574415188377683,False,,387.70231499999994,737.05,1.574415188377683,-124.46203738787379
TRX,LONG,2025-07-25 00:00:00+00:00,2025-08-24 00:00:00+00:00,0.31491,0.36515,0.3152249099999999,0.36478485,12.0,0.1572208871437223,0.0108,1.875850645724668,0.1331214718985882,2.0089721176232564,False,,0.1576124549999999,0.31491,2.0089721176232564,-122.45306527025053
DOT,LONG,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,4.195,3.7772,4.199195,3.7734228,10.0,-0.1013937671387014,0.009,-1.0229376713870146,0.0848650268780564,-0.9380726445089582,False,,2.0995975,3.4795,-0.9380726445089582,-123.3911379147595
STX,LONG,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,0.81781,0.62838,0.81862781,0.6277516200000001,10.0,-0.2331660220534163,0.009,-2.340660220534163,0.0850796950078326,-2.2555805255263306,False,,0.409313905,0.64231,-2.2555805255263306,-125.64671844028582
