perp,time,fundingRate
AAVE,2025-06-11 00:00:00.023000+00:00,6.99378e-05
AAVE,2025-06-11 08:00:00.010000+00:00,2.92037e-05
AAVE,2025-06-11 16:00:00.022000+00:00,8.58601e-05
AAVE,2025-06-12 00:00:00.029000+00:00,2.84456e-05
AAVE,2025-06-12 08:00:00.002000+00:00,1.25e-05
AAVE,2025-06-12 16:00:00.065000+00:00,1.25e-05
AAVE,2025-06-13 00:00:00.071000+00:00,1.25e-05
AAVE,2025-06-13 08:00:00.018000+00:00,1.25e-05
AAVE,2025-06-13 16:00:00.040000+00:00,1.25e-05
AAVE,2025-06-14 00:00:00.047000+00:00,1.25e-05
AAVE,2025-06-14 08:00:00.182000+00:00,1.25e-05
AAVE,2025-06-14 16:00:00.021000+00:00,1.25e-05
AAVE,2025-06-15 00:00:00.102000+00:00,1.25e-05
AAVE,2025-06-15 08:00:00.021000+00:00,1.1683e-05
AAVE,2025-06-15 16:00:00.130000+00:00,1.25e-05
AAVE,2025-06-16 00:00:00.076000+00:00,1.25e-05
AAVE,2025-06-16 08:00:00.052000+00:00,1.25e-05
AAVE,2025-06-16 16:00:00.043000+00:00,1.25e-05
AAVE,2025-06-17 00:00:00.100000+00:00,1.25e-05
AAVE,2025-06-17 08:00:00.086000+00:00,1.25e-05
AAVE,2025-06-17 16:00:00.030000+00:00,1.25e-05
AAVE,2025-06-18 00:00:00.088000+00:00,1.25e-05
AAVE,2025-06-18 08:00:00.028000+00:00,1.25e-05
AAVE,2025-06-18 16:00:00.066000+00:00,1.25e-05
AAVE,2025-06-19 00:00:00.047000+00:00,1.25e-05
AAVE,2025-06-19 08:00:00.036000+00:00,1.25e-05
AAVE,2025-06-19 16:00:00.041000+00:00,1.25e-05
AAVE,2025-06-20 00:00:00.010000+00:00,1.25e-05
AAVE,2025-06-20 08:00:00.051000+00:00,1.25e-05
AAVE,2025-06-20 16:00:00.037000+00:00,1.24638e-05
AAVE,2025-06-21 00:00:00.049000+00:00,-2.742e-06
AAVE,2025-06-21 08:00:00.012000+00:00,1.25e-05
AAVE,2025-06-21 16:00:00.081000+00:00,1.25e-05
AAVE,2025-06-22 00:00:00.016000+00:00,1.25e-05
AAVE,2025-06-22 08:00:00.031000+00:00,1.25e-05
AAVE,2025-06-22 16:00:00.069000+00:00,1.25e-05
AAVE,2025-06-23 00:00:00.043000+00:00,1.25e-05
AAVE,2025-06-23 08:00:00.017000+00:00,1.25e-05
AAVE,2025-06-23 16:00:00.038000+00:00,1.25e-05
AAVE,2025-06-24 00:00:00.086000+00:00,1.25e-05
AAVE,2025-06-24 08:00:00.005000+00:00,1.25e-05
AAVE,2025-06-24 16:00:00.015000+00:00,1.25e-05
AAVE,2025-06-25 00:00:00.046000+00:00,1.25e-05
AAVE,2025-06-25 08:00:00.049000+00:00,1.25e-05
AAVE,2025-06-25 16:00:00.058000+00:00,1.25e-05
AAVE,2025-06-26 00:00:00.101000+00:00,1.25e-05
AAVE,2025-06-26 08:00:00.086000+00:00,1.25e-05
AAVE,2025-06-26 16:00:00.035000+00:00,1.25e-05
AAVE,2025-06-27 00:00:00.045000+00:00,1.25e-05
AAVE,2025-06-27 08:00:00.094000+00:00,1.25e-05
AAVE,2025-06-27 16:00:00.002000+00:00,1.25e-05
AAVE,2025-06-28 00:00:00.061000+00:00,1.25e-05
AAVE,2025-06-28 08:00:00.029000+00:00,1.25e-05
AAVE,2025-06-28 16:00:00.129000+00:00,1.12171e-05
AAVE,2025-06-29 00:00:00.019000+00:00,1.25e-05
AAVE,2025-06-29 08:00:00.036000+00:00,1.25e-05
AAVE,2025-06-29 16:00:00.060000+00:00,1.25e-05
AAVE,2025-06-30 00:00:00.062000+00:00,1.25e-05
AAVE,2025-06-30 08:00:00.035000+00:00,1.25e-05
AAVE,2025-06-30 16:00:00.014000+00:00,1.25e-05
AAVE,2025-07-01 00:00:00+00:00,1.25e-05
AAVE,2025-07-01 08:00:00.025000+00:00,1.25e-05
AAVE,2025-07-01 16:00:00.065000+00:00,1.25e-05
AAVE,2025-07-02 00:00:00.041000+00:00,-1.9697e-06
AAVE,2025-07-02 08:00:00.049000+00:00,-5.0148e-06
AAVE,2025-07-02 16:00:00.059000+00:00,1.25e-05
AAVE,2025-07-03 00:00:00.130000+00:00,1.25e-05
AAVE,2025-07-03 08:00:00.051000+00:00,1.25e-05
AAVE,2025-07-03 16:00:00.045000+00:00,1.25e-05
AAVE,2025-07-04 00:00:00.046000+00:00,1.25e-05
AAVE,2025-07-04 08:00:00.038000+00:00,1.25e-05
AAVE,2025-07-04 16:00:00.010000+00:00,1.25e-05
AAVE,2025-07-05 00:00:00.007000+00:00,1.25e-05
AAVE,2025-07-05 08:00:00.056000+00:00,1.25e-05
AAVE,2025-07-05 16:00:00.036000+00:00,1.25e-05
AAVE,2025-07-06 00:00:00.004000+00:00,1.25e-05
AAVE,2025-07-06 08:00:00.015000+00:00,1.25e-05
AAVE,2025-07-06 16:00:00.008000+00:00,1.25e-05
AAVE,2025-07-07 00:00:00.068000+00:00,1.25e-05
AAVE,2025-07-07 08:00:00.115000+00:00,1.25e-05
AAVE,2025-07-07 16:00:00.064000+00:00,1.25e-05
AAVE,2025-07-08 00:00:00.008000+00:00,1.25e-05
AAVE,2025-07-08 08:00:00.021000+00:00,1.25e-05
AAVE,2025-07-08 16:00:00.016000+00:00,1.25e-05
AAVE,2025-07-09 00:00:00.036000+00:00,1.25e-05
AAVE,2025-07-09 08:00:00.034000+00:00,1.25e-05
AAVE,2025-07-09 16:00:00.078000+00:00,1.25e-05
AAVE,2025-07-10 00:00:00.063000+00:00,1.25e-05
AAVE,2025-07-10 08:00:00.044000+00:00,1.25e-05
AAVE,2025-07-10 16:00:00.036000+00:00,1.25e-05
AAVE,2025-07-11 00:00:00.021000+00:00,1.25e-05
AAVE,2025-07-11 08:00:00.054000+00:00,4.64102e-05
AAVE,2025-07-11 16:00:00.033000+00:00,2.63459e-05
AAVE,2025-07-12 00:00:00.034000+00:00,8.46486e-05
