perp,time,close
POPCAT,2025-07-15 18:00:00,0.36726
POPCAT,2025-07-16 18:00:00,0.41949
POPCAT,2025-07-17 18:00:00,0.40441
POPCAT,2025-07-18 18:00:00,0.37619
POPCAT,2025-07-19 18:00:00,0.38182
POPCAT,2025-07-20 18:00:00,0.40764
POPCAT,2025-07-21 18:00:00,0.41939
POPCAT,2025-07-22 18:00:00,0.43846
POPCAT,2025-07-23 18:00:00,0.42162
POPCAT,2025-07-24 18:00:00,0.38567
POPCAT,2025-07-25 18:00:00,0.36159
POPCAT,2025-07-26 18:00:00,0.37854
POPCAT,2025-07-27 18:00:00,0.39027
POPCAT,2025-07-28 18:00:00,0.35596
POPCAT,2025-07-29 18:00:00,0.33568
POPCAT,2025-07-30 18:00:00,0.3222
POPCAT,2025-07-31 18:00:00,0.32515
POPCAT,2025-08-01 18:00:00,0.30133
POPCAT,2025-08-02 18:00:00,0.27786
POPCAT,2025-08-03 18:00:00,0.29506
POPCAT,2025-08-04 18:00:00,0.30628
POPCAT,2025-08-05 18:00:00,0.29268
POPCAT,2025-08-06 18:00:00,0.30262
POPCAT,2025-08-07 18:00:00,0.31098
POPCAT,2025-08-08 18:00:00,0.32648
POPCAT,2025-08-09 18:00:00,0.33866
POPCAT,2025-08-10 18:00:00,0.34493
POPCAT,2025-08-11 18:00:00,0.31912
POPCAT,2025-08-12 18:00:00,0.32985
POPCAT,2025-08-13 18:00:00,0.33854
POPCAT,2025-08-14 18:00:00,0.2997
POPCAT,2025-08-15 18:00:00,0.28318
POPCAT,2025-08-16 18:00:00,0.29483
POPCAT,2025-08-17 18:00:00,0.29746
POPCAT,2025-08-18 18:00:00,0.28338
POPCAT,2025-08-19 18:00:00,0.26584
POPCAT,2025-08-20 18:00:00,0.27948
POPCAT,2025-08-21 18:00:00,0.27649
POPCAT,2025-08-22 18:00:00,0.29556
POPCAT,2025-08-23 18:00:00,0.29367
POPCAT,2025-08-24 18:00:00,0.29617
POPCAT,2025-08-25 18:00:00,0.26568
POPCAT,2025-08-26 18:00:00,0.26586
POPCAT,2025-08-27 18:00:00,0.26945
POPCAT,2025-08-28 18:00:00,0.26971
POPCAT,2025-08-29 18:00:00,0.25007
POPCAT,2025-08-30 18:00:00,0.26108
POPCAT,2025-08-31 18:00:00,0.26146
POPCAT,2025-09-01 18:00:00,0.24223
POPCAT,2025-09-02 18:00:00,0.24954
POPCAT,2025-09-03 18:00:00,0.2533
POPCAT,2025-09-04 18:00:00,0.23347
POPCAT,2025-09-05 18:00:00,0.24207
POPCAT,2025-09-06 18:00:00,0.24014
POPCAT,2025-09-07 18:00:00,0.24297
POPCAT,2025-09-08 18:00:00,0.26314
POPCAT,2025-09-09 18:00:00,0.26315
POPCAT,2025-09-10 18:00:00,0.27148
POPCAT,2025-09-11 18:00:00,0.27064
POPCAT,2025-09-12 18:00:00,0.28748
POPCAT,2025-09-13 18:00:00,0.29455
POPCAT,2025-09-14 18:00:00,0.28323
POPCAT,2025-09-15 18:00:00,0.26299
POPCAT,2025-09-16 18:00:00,0.27256
POPCAT,2025-09-17 18:00:00,0.2668
POPCAT,2025-09-18 18:00:00,0.29401
POPCAT,2025-09-19 18:00:00,0.26985
POPCAT,2025-09-20 18:00:00,0.26475
POPCAT,2025-09-21 18:00:00,0.26239
POPCAT,2025-09-22 18:00:00,0.22659
POPCAT,2025-09-23 18:00:00,0.22531
POPCAT,2025-09-24 18:00:00,0.22586
POPCAT,2025-09-25 18:00:00,0.21537
POPCAT,2025-09-26 18:00:00,0.21775
POPCAT,2025-09-27 18:00:00,0.21398
POPCAT,2025-09-28 18:00:00,0.21739
POPCAT,2025-09-29 18:00:00,0.21847
POPCAT,2025-09-30 18:00:00,0.21243
POPCAT,2025-10-01 18:00:00,0.23252
POPCAT,2025-10-02 18:00:00,0.24034
POPCAT,2025-10-03 18:00:00,0.24068
POPCAT,2025-10-04 18:00:00,0.23241
POPCAT,2025-10-05 18:00:00,0.23557
POPCAT,2025-10-06 18:00:00,0.24952
POPCAT,2025-10-07 18:00:00,0.22744
POPCAT,2025-10-08 18:00:00,0.24226
POPCAT,2025-10-09 18:00:00,0.22136
POPCAT,2025-10-10 18:00:00,0.2107
POPCAT,2025-10-11 18:00:00,0.15464
POPCAT,2025-10-12 18:00:00,0.16634
POPCAT,2025-10-13 18:00:00,0.17185
POPCAT,2025-10-14 18:00:00,0.16788
POPCAT,2025-10-15 18:00:00,0.16092
POPCAT,2025-10-16 18:00:00,0.15374
POPCAT,2025-10-17 18:00:00,0.14345
POPCAT,2025-10-18 18:00:00,0.14942
POPCAT,2025-10-19 18:00:00,0.15565
POPCAT,2025-10-20 18:00:00,0.15595
POPCAT,2025-10-21 18:00:00,0.15711
POPCAT,2025-10-22 18:00:00,0.14481
POPCAT,2025-10-23 18:00:00,0.14999
POPCAT,2025-10-24 18:00:00,0.1527
POPCAT,2025-10-25 18:00:00,0.15732
POPCAT,2025-10-26 18:00:00,0.16273
POPCAT,2025-10-27 18:00:00,0.16273
POPCAT,2025-10-28 18:00:00,0.15594
POPCAT,2025-10-29 18:00:00,0.15802
POPCAT,2025-10-30 18:00:00,0.1362
POPCAT,2025-10-31 18:00:00,0.1384
POPCAT,2025-11-01 18:00:00,0.15238
POPCAT,2025-11-02 18:00:00,0.14716
POPCAT,2025-11-03 18:00:00,0.12459
POPCAT,2025-11-04 18:00:00,0.11418
POPCAT,2025-11-05 18:00:00,0.13033
POPCAT,2025-11-06 18:00:00,0.12738
POPCAT,2025-11-07 18:00:00,0.14551
POPCAT,2025-11-08 18:00:00,0.14139
POPCAT,2025-11-09 18:00:00,0.14894
POPCAT,2025-11-10 18:00:00,0.14635
POPCAT,2025-11-11 18:00:00,0.15712
POPCAT,2025-11-12 18:00:00,0.13805
POPCAT,2025-11-13 18:00:00,0.11732
PROVE,2025-08-06 18:00:00,1.131
PROVE,2025-08-07 18:00:00,0.972
PROVE,2025-08-08 18:00:00,1.0174
PROVE,2025-08-09 18:00:00,1.2712
PROVE,2025-08-10 18:00:00,1.3658
PROVE,2025-08-11 18:00:00,1.6715
PROVE,2025-08-12 18:00:00,1.4244
PROVE,2025-08-13 18:00:00,1.4878
