token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
PNUT,SHORT,2025-06-22,2025-07-22,0.18727,0.31688,0.187138911,0.317101816,5.0,-0.6944729148284934,0.0045,-3.476864574142467
SOPH,LONG,2025-06-23,2025-07-23,0.037044,0.042246,0.0370699308,0.0422164278,5.0,0.13883211780907884,0.0045,0.6896605890453942
BTC,LONG,2025-06-23,2025-07-23,102870.0,118474.0,102942.00899999999,118391.0682,5.0,0.150075361361949,0.0045,0.745876806809745
BNB,LONG,2025-06-23,2025-07-23,629.38,776.79,629.820566,776.2462469999999,5.0,0.23248793212637,0.0045,1.1579396606318502
ATOM,LONG,2025-06-23,2025-07-23,3.9115,4.747,3.91423805,4.743677099999999,5.0,0.2119030675714778,0.0045,1.055015337857389
OM,SHORT,2025-06-23,2025-07-23,0.20956,0.27929,0.209413308,0.27948550299999997,5.0,-0.33461194834857383,0.0045,-1.6775597417428691
XAI,SHORT,2025-06-23,2025-07-23,0.04833,0.05972,0.04829616899999999,0.059761803999999995,5.0,-0.23740257741768303,0.0045,-1.191512887088415
LINK,LONG,2025-06-24,2025-07-24,13.406,18.527,13.4153842,18.5140311,4.285714285714286,0.38005970041469256,0.0038571428571428567,1.6249701446343967
SEI,LONG,2025-06-24,2025-07-24,0.27778,0.33063,0.277974446,0.330398559,4.285714285714286,0.1885932817004337,0.0038571428571428567,0.8043997787161444
ATOM,LONG,2025-06-24,2025-07-24,4.0532,4.7236,4.05603724,4.7202934800000005,4.285714285714286,0.16376975868199875,0.0038571428571428567,0.6980132514942803
SOL,LONG,2025-06-24,2025-07-24,143.6,189.37,143.70051999999998,189.237441,4.285714285714286,0.316887656356428,0.0038571428571428567,1.35423281295612
AIXBT,SHORT,2025-06-24,2025-07-24,0.14011,0.15107,0.140011923,0.151175749,4.285714285714286,-0.07973482372640497,0.0038571428571428567,-0.345577815970307
INIT,SHORT,2025-06-24,2025-07-24,0.45752,0.42452,0.45719973599999997,0.42481716399999997,4.285714285714286,0.0708280636452511,0.0038571428571428567,0.29969170133679046
LAUNCHCOIN,SHORT,2025-06-24,2025-07-24,0.11091,0.068319,0.11083236299999999,0.0683668233,4.285714285714286,0.3831510810610434,0.0038571428571428567,1.6382189188330432
ALGO,LONG,2025-06-25,2025-07-25,0.17713,0.26036,0.177253991,0.260177748,5.0,0.467824484696652,0.0045,2.33462242348326
LINK,LONG,2025-06-25,2025-07-25,13.131,17.759,13.140191699999999,17.7465687,5.0,0.35055630124482906,0.0045,1.7482815062241455
SEI,LONG,2025-06-25,2025-07-25,0.28818,0.32018,0.28838172599999995,0.31995587400000003,5.0,0.10948733970751005,0.0045,0.5429366985375503
kFLOKI,LONG,2025-06-25,2025-07-25,0.071639,0.12359,0.07168914729999999,0.123503487,5.0,0.7227640675257412,0.0045,3.6093203376287057
OM,SHORT,2025-06-25,2025-07-25,0.21028,0.26153,0.21013280399999998,0.26171307099999996,5.0,-0.2454650869266466,0.0045,-1.231825434633233
IP,SHORT,2025-06-25,2025-07-25,2.9674,5.2693,2.96532282,5.27298851,5.0,-0.7782173577985011,0.0045,-3.8955867889925058
ONDO,LONG,2025-06-26,2025-07-26,0.73547,1.0548,0.735984829,1.05406164,6.0,0.43217848855957886,0.0054,2.587670931357473
BTC,LONG,2025-06-26,2025-07-26,107347.0,118156.0,107422.14289999999,118073.2908,6.0,0.09915225681091874,0.0054,0.5895135408655124
PAXG,LONG,2025-06-26,2025-07-26,3345.9,3352.3,3348.2421299999996,3349.95339,6.0,0.0005110920696767212,0.0054,-0.0023334475819396733
PNUT,SHORT,2025-06-26,2025-07-26,0.19575,0.27728,0.195612975,0.277474096,6.0,-0.4184851286066275,0.0054,-2.516310771639765
FXS,SHORT,2025-06-26,2025-07-26,1.9646,3.3056,1.9632247799999998,3.30791392,6.0,-0.6849389604790951,0.0054,-4.11503376287457
FET,LONG,2025-06-27,2025-07-27,0.66268,0.741,0.663143876,0.7404813,5.0,0.11662239040265221,0.0045,0.5786119520132611
STG,LONG,2025-06-27,2025-07-27,0.1513,0.1791,0.15140590999999998,0.17897463,5.0,0.18208483407285767,0.0045,0.9059241703642884
W,LONG,2025-06-27,2025-07-27,0.06259,0.0879,0.062633813,0.08783847,5.0,0.40241294267043914,0.0045,2.0075647133521954
OM,SHORT,2025-06-27,2025-07-27,0.19993,0.27924,0.199790049,0.27943546799999996,5.0,-0.398645575185779,0.0045,-1.9977278759288948
