signal_date,symbol,side,prediction,reason
2025-07-03,ANIME,-1,0.0685796720223901,no_price_inside_entry_window
2025-07-03,AIXBT,-1,0.1043919104729028,no_price_inside_entry_window
2025-07-03,GRIFFAIN,-1,0.1301408111026135,no_price_inside_entry_window
2025-07-04,ADA,1,0.9056362606206564,no_price_inside_entry_window
2025-07-04,SUI,1,0.8686043429130854,no_price_inside_entry_window
2025-07-04,LINK,1,0.8657796463583843,no_price_inside_entry_window
2025-07-04,ALT,-1,0.1035969848675604,no_price_inside_entry_window
2025-07-04,ANIME,-1,0.1191211981131149,no_price_inside_entry_window
2025-07-04,SEI,-1,0.1357599738694686,no_price_inside_entry_window
2025-07-05,SOPH,1,0.9138337984322604,no_price_inside_entry_window
2025-07-05,PAXG,1,0.8956690778942206,no_price_inside_entry_window
2025-07-05,BTC,1,0.8779026659899378,no_price_inside_entry_window
2025-07-05,MAV,-1,0.161631369516803,no_price_inside_entry_window
2025-07-05,OM,-1,0.1663992241884204,no_price_inside_entry_window
2025-07-06,TRB,1,0.91635391206055,no_price_inside_entry_window
2025-07-06,NEAR,1,0.8993359744272628,no_price_inside_entry_window
2025-07-06,kFLOKI,1,0.856830425591099,no_price_inside_entry_window
2025-07-06,BLAST,-1,0.0646074858961286,no_price_inside_entry_window
2025-07-06,OM,-1,0.0696764967196558,no_price_inside_entry_window
2025-07-06,ANIME,-1,0.115349607832034,no_price_inside_entry_window
2025-07-07,DOGE,1,0.8881792202131057,no_price_inside_entry_window
2025-07-07,XLM,1,0.8641525885785757,no_price_inside_entry_window
2025-07-07,kBONK,1,0.8520259517782294,no_price_inside_entry_window
2025-07-07,ANIME,-1,0.0855629261100706,no_price_inside_entry_window
2025-07-07,BLAST,-1,0.1269454693886789,no_price_inside_entry_window
2025-07-07,JTO,-1,0.1273046201485198,no_price_inside_entry_window
2025-07-08,LINK,1,0.867732492150041,no_price_inside_entry_window
2025-07-08,CELO,1,0.8499577667222606,no_price_inside_entry_window
2025-07-08,W,-1,0.1206905474548153,no_price_inside_entry_window
2025-07-08,SEI,-1,0.1259720641676105,no_price_inside_entry_window
2025-07-09,LINK,1,0.8799434471696215,no_price_inside_entry_window
2025-07-09,ETC,1,0.8762671078852196,no_price_inside_entry_window
2025-07-09,ATOM,1,0.8756141450729037,no_price_inside_entry_window
2025-07-09,MOVE,-1,0.0929237761339818,no_price_inside_entry_window
2025-07-09,ANIME,-1,0.1108743548849495,no_price_inside_entry_window
2025-07-09,W,-1,0.1110816130203297,no_price_inside_entry_window
2025-07-10,AVAX,1,0.8784139803611015,no_price_inside_entry_window
2025-07-10,SAND,1,0.8522708781038578,no_price_inside_entry_window
2025-07-10,ADA,1,0.8227497141940578,no_price_inside_entry_window
2025-07-10,GRIFFAIN,-1,0.0954665511469424,no_price_inside_entry_window
2025-07-10,JTO,-1,0.1144949974932928,no_price_inside_entry_window
2025-07-10,ANIME,-1,0.11703213922072,no_price_inside_entry_window
