time,cash_collateral,account_equity,portfolio_margin_value,posted_initial_margin_open,maintenance_margin_required,margin_ratio,unrealized_pnl_total,unrealized_pnl_long,unrealized_pnl_short,realized_pnl_total,realized_pnl_long,realized_pnl_short,funding_pnl_total,fees_total,n_open_positions,long_exposure,short_exposure,gross_exposure,net_exposure,gross_leverage_on_equity
2026-01-12 14:00:00+00:00,305.02287271351025,2159.134025615443,1854.1111529019333,1798.9249236925407,135.56597759957515,0.06278719893774691,55.18622920939254,23.954237446354995,31.23199176303755,207.60726823657404,-164.94476005657887,372.55202829315294,-99.72550753436849,3.9339642961500343,48,940.2456679156237,892.9550386148948,1833.2007065305183,47.29062930072894,0.8490444246544537
2026-01-12 15:00:00+00:00,305.02287271351025,2158.365867867213,1853.342995153703,1798.8813237105644,136.44778660637394,0.06321809876524996,54.46167144313859,29.573685469722516,24.887985973416075,207.60726823657404,-164.94476005657887,372.55202829315294,-99.76910751634436,3.9339642961500343,48,945.865115938991,899.2990444045158,1845.1641603435069,46.56607153447521,0.8548894271418421
2026-01-12 16:00:00+00:00,305.02287271351025,2158.3662714047996,1853.3433986912894,1798.84476961778,136.5162674137069,0.06324981502090171,54.49862907350949,30.68606189206214,23.812567181447353,207.60726823657404,-164.94476005657887,372.55202829315294,-99.80566160912936,3.9339642961500343,48,946.9774923613312,900.3744631964848,1847.351955557816,46.60302916484636,0.8559029021313624
2026-01-12 17:00:00+00:00,305.02287271351025,2161.832003011888,1856.8091302983778,1798.7980271267218,135.51124062962205,0.06268352047745908,58.01110317165606,26.144862432915787,31.866240738740274,207.60726823657404,-164.94476005657887,372.55202829315294,-99.85240410018751,3.9339642961500343,48,942.4362929021848,892.3207896391918,1834.7570825413768,50.115503262993,0.8487047467079649
2026-01-12 18:00:00+00:00,305.02287271351025,2160.7557392985236,1855.7328665850137,1798.7592101322343,135.7150557227324,0.06280906872277542,56.973656452779394,27.03983632477663,29.933820128002765,207.60726823657404,-164.94476005657887,372.55202829315294,-99.89122109467492,3.9339642961500343,48,943.3312667940455,894.2532102499295,1837.5844770439749,49.078056544116066,0.8504360042290275
2026-01-12 19:00:00+00:00,309.8154500873228,2158.2940555962873,1848.4786055089648,1798.4045159821878,134.77246732327006,0.062443978369775714,50.07408952677706,26.903887588774555,23.170201938002503,212.1374248857516,-163.17009504792733,375.3075199336789,-99.9292627429009,3.9881960733352133,48,943.2820724806397,899.4341869739517,1842.7162594545914,43.847885506688044,0.8537836884073199
2026-01-12 20:00:00+00:00,309.8154500873228,2159.3856313948913,1849.5701813075686,1798.369888141452,134.14711502857696,0.062122815433351936,51.20029316611648,23.379229522164724,27.821063643951756,212.1374248857516,-163.17009504792733,375.3075199336789,-99.96389058363674,3.9881960733352133,48,939.7574144140301,894.7833252680026,1834.5407396820328,44.974089146027495,0.8495660585168294
2026-01-12 21:00:00+00:00,309.8154500873228,2164.3632503727335,1854.5478002854113,1798.3430244180308,133.05607362184705,0.06147585143063806,56.204775867380434,19.414215107086033,36.790560760294404,212.1374248857516,-163.17009504792733,375.3075199336789,-99.99075430705857,3.9881960733352133,48,935.7923999989514,885.81382815166,1821.6062281506115,49.97857184729139,0.8416360922025937
2026-01-12 22:00:00+00:00,309.8154500873228,2165.936536726459,1856.1210866391364,1798.314680217657,133.23723114186336,0.061514836137920595,57.806406421479274,21.55249777208708,36.253908649392194,212.1374248857516,-163.17009504792733,375.3075199336789,-100.0190985074319,3.9881960733352133,48,937.9306826639526,886.3504802625622,1824.2811629265148,51.58020240139035,0.8422597486091105
2026-01-12 23:00:00+00:00,309.8154500873228,2162.264977379607,1852.4495272922834,1798.2753779966522,133.39009396622245,0.06168998497486393,54.174149295631295,20.564075553700228,33.61007374193107,212.1374248857516,-163.17009504792733,375.3075199336789,-100.05840072843674,3.9881960733352133,48,936.9422604455657,888.9943151700231,1825.936575615589,47.947945275542565,0.8444555106416209
2026-01-13 00:00:00+00:00,309.8154500873228,2162.1002315483292,1852.284781461006,1798.221903774459,133.67407200989743,0.061826029181898924,54.06287768654718,22.347519728281817,31.71535795826537,212.1374248857516,-163.17009504792733,375.3075199336789,-100.11187495062998,3.9881960733352133,48,938.7257046201473,890.889030953689,1829.6147355738362,47.836673666458296,0.8462210534354402
2026-01-13 01:00:00+00:00,309.8154500873228,2160.4278296838197,1850.6123795964968,1798.1294597461076,133.6371164045366,0.0618567834427936,52.48291985038908,20.7046899567462,31.778229893642884,212.1374248857516,-163.17009504792733,375.3075199336789,-100.2043189789813,3.9881960733352133,48,937.0828748486116,890.8261590183114,1827.909033866923,46.25671583030021,0.8460865985671175
